statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2017-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHBUND01;Bundesbereich;493,4;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2015-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHBUND01;Bundesbereich;489,4;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2019-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHBUND01;Bundesbereich;501,9;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2022-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;;Insgesamt;5206,0;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2016-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;VSISOZIAL01;Sozialversicherung;371,1;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2017-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHKOMM01;Kommunaler Bereich;1487,6;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2016-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHLAND01;Landesbereich;2364,1;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2022-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;BEREICHLAND01;Landesbereich;2603,6;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2022-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;VSISOZIAL01;Sozialversicherung;375,1;1000;BES003;Beschäftigte im öffentlichen Dienst
74111;Personalstandstatistik des öffentlichen Dienstes;STAG;Stichtag;2018-06-30;DINSG;Deutschland insgesamt;DG;Deutschland;BESBR2;Beschäftigungsbereich;VSISOZIAL01;Sozialversicherung;368,2;1000;BES003;Beschäftigte im öffentlichen Dienst
