statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-03;Bekleidung und Schuhe;102,2;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-04;Wohnung, Wasser, Strom, Gas und andere Brennstoffe;100,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-11;Gaststätten- und Beherbergungsdienstleistungen;90,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-06;Gesundheit;98,9;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-06;Gesundheit;95,4;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-09;Freizeit, Unterhaltung und Kultur;110,8;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-01;Nahrungsmittel und alkoholfreie Getränke;93,5;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-04;Wohnung, Wasser, Strom, Gas und andere Brennstoffe;97,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-02;Alkoholische Getränke und Tabakwaren;121,9;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-11;Gaststätten- und Beherbergungsdienstleistungen;100,4;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;97,8;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;99,1;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2021;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-07;Verkehr;112,1;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2026;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-10;Bildungswesen;123,9;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-02;Alkoholische Getränke und Tabakwaren;127,2;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-11;Gaststätten- und Beherbergungsdienstleistungen;124,2;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2022;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;111,7;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2022;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-02;Alkoholische Getränke und Tabakwaren;105,7;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-08;Post und Telekommunikation;103,3;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;100,8;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-09;Freizeit, Unterhaltung und Kultur;117,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-03;Bekleidung und Schuhe;110,4;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-12;Andere Waren und Dienstleistungen;116,8;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;118,5;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-10;Bildungswesen;99,4;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-04;Wohnung, Wasser, Strom, Gas und andere Brennstoffe;94,1;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-01;Nahrungsmittel und alkoholfreie Getränke;132,5;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2022;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-03;Bekleidung und Schuhe;97,5;2020=100;PREIS1;Verbraucherpreisindex
