statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;-3,6;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;4,8;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;98,2;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;93,9;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;-0,7;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;6,5;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;107,0;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;101,1;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;1,9;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;8,4;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;109,2;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;103,0;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;95,4;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;92,6;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;0,0;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;6,0;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;100,0;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;93,8;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;104,6;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;101,9;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;1,1;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;3,4;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;108,5;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;99,4;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;2,9;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;5,4;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;111,3;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;100,0;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;2,3;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;4,3;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;114,3;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;103,1;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;3,1;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;5,4;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;142,9;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;131,3;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;1,7;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;3,8;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;117,0;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;105,9;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;1,0;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;3,2;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;113,8;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2025;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;103,5;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;97,2;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;97,1;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;3,2;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;6,5;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;135,6;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;127,4;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST074;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST075;in
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;94,8;2022=100;VST075;Nominallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;92,7;2022=100;VST074;Reallohnindex
62361;Verdiensterhebung;JAHR;Jahr;2022;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;.;%;VST074;in
