date,wage_nominal,rent,wage_real,wealth_pump
2022-01-01,92.0,102.3,96.3,111.19565217391305
2022-02-01,93.7,102.5,97.4,109.39167556029884
2022-03-01,99.6,102.6,101.5,103.01204819277108
2022-04-01,100.5,102.8,101.8,102.28855721393035
2022-05-01,100.0,103.0,100.4,103.0
2022-06-01,100.7,103.2,101.1,102.48262164846078
2022-07-01,97.2,103.3,97.1,106.27572016460904
2022-08-01,94.3,103.5,93.8,109.75609756097562
2022-09-01,94.8,103.6,92.7,109.28270042194093
2022-10-01,95.4,103.8,92.6,108.80503144654088
2022-11-01,127.3,104.0,123.4,81.69677926158681
2022-12-01,104.6,104.1,101.9,99.52198852772467
2023-01-01,99.6,104.4,96.0,104.81927710843375
2023-02-01,98.2,104.6,93.9,106.5173116089613
2023-03-01,102.8,104.8,97.6,101.94552529182879
2023-04-01,107.0,105.0,101.1,98.13084112149532
2023-05-01,105.4,105.2,99.7,99.81024667931689
2023-06-01,109.2,105.3,103.0,96.42857142857142
2023-07-01,103.8,105.5,97.7,101.63776493256262
2023-08-01,100.0,105.8,93.8,105.80000000000001
2023-09-01,100.5,105.9,94.0,105.37313432835822
2023-10-01,101.2,106.0,94.7,104.74308300395256
2023-11-01,135.6,106.1,127.4,78.2448377581121
2023-12-01,109.0,106.3,102.3,97.5229357798165
2024-01-01,104.9,106.7,98.3,101.71591992373689
2024-02-01,104.9,106.9,97.9,101.90657769304099
2024-03-01,110.3,107.1,102.5,97.0988213961922
2024-04-01,114.6,107.4,105.9,93.717277486911
2024-05-01,112.7,107.5,104.1,95.38598047914817
2024-06-01,112.1,107.7,103.5,96.0749330954505
2024-07-01,109.6,107.8,100.8,98.35766423357664
2024-08-01,107.1,108.0,98.6,100.84033613445378
2024-09-01,105.6,108.2,97.2,102.46212121212122
2024-10-01,106.4,108.4,97.5,101.8796992481203
2024-11-01,142.9,108.5,131.3,75.92722183344996
2024-12-01,113.8,108.6,104.1,95.43057996485061
2025-01-01,108.5,108.9,99.4,100.36866359447005
2025-02-01,108.8,109.1,99.3,100.27573529411764
2025-03-01,113.8,109.3,103.5,96.04569420035149
2025-04-01,118.7,109.6,107.5,92.33361415332772
2025-05-01,117.0,109.8,105.9,93.84615384615384
2025-06-01,117.8,110.0,106.6,93.3786078098472
2025-07-01,114.3,110.2,103.1,96.41294838145232
2025-08-01,109.4,110.4,98.6,100.91407678244973
2025-09-01,111.3,110.5,100.0,99.28122192273136
2025-10-01,111.3,110.7,99.7,99.46091644204851
2025-11-01,148.1,110.9,133.0,74.881836596894
